url,headline,date_publish,content,authors,language
https://www.cnn.com/2025/06/27/world/pokrovsk-russia-ukraine-war-troops-intl,"Russia has amassed 110,000 troops near strategic Ukrainian city, Kyiv says",2025-06-27 15:36:57,"Russia has amassed 110,000 troops in the vicinity of Pokrovsk as part of its efforts to take over the strategic eastern Ukrainian city, the Ukrainian military chief said Friday.
Oleksandr Syrskyi said on Friday that the area around Pokrovsk was the “hottest spot” along the 1,200-kilometre (745 miles) front line which runs across the east.
Russian forces have been trying to capture Pokrovsk for almost a year, staging one grinding offensive after another. But despite having a clear advantage in terms of the number of troops and weapons available, Moscow has failed to take over the city.
Pokrovsk is a strategic target for Moscow. Russian President Vladimir Putin has made it clear that his goal is to seize all of the eastern Ukrainian regions of Donetsk and Luhansk his forces partially occupy.
Kyiv and its allies accuse Putin of stalling on peace efforts so that his forces can seize more Ukrainian territory.
Although not a major city, Pokrovsk sits on a key supply road and railroad that connect it with other military hubs in the area. Together with Kostiantynivka, Kramatorsk and Sloviansk, it forms the backbone of Ukrainian defenses in the part of Donetsk region that is still under Kyiv’s control.
Some 60,000 lived in Pokrovsk before the war, but the majority have left in the three years since Russia launched its full-scale invasion in February 2022.
Ukraine’s last operating coking coal mine was in Pokrovsk and many of its employees were staying in the area to keep it going. Once it was forced to shut down early this year, they too began to leave.
The Institute for the Study of War (ISW), a US-based conflict monitor, said late last year that Ukrainian defensive operations in Pokrovsk have forced Russia to abandon its original plan to take over Pokrovsk in a frontal assault.
The ISW said this was because Ukrainian troops began using drones as integral part of their defensive strategy, successfully integrating drone operators with their ground forces.
At the same time, Russia was unable to increase the number of troops in the area by much, because it was trying to contain the surprise incursion of Ukrainian troops into its own territory in the southern Kursk region.
Syrskyi told reporters last week that at one point, the Kursk operation pulled back nearly 63,000 Russian troops and some 7,000 North Korean troops.
“This allowed us to weaken the enemy’s pressure on the main fronts and regroup our troops. And the enemy’s capture of Pokrovsk, announced back in September 2024, has not yet taken place, thanks in part to our Kursk operation,” he said.
Instead of continuing to attacking the city directly, Russian troops then began encircling the city from south and northeast.
The ISW said in its most recent assessment on Friday that Russian forces were continuing assaults with small fireteams of one to two soldiers, sometimes on motorcycles, in all-terrain vehicles and buggies.
In a statement issued on Friday, Syrksky said Russia continued to try to break through to the administrative border of the Donetsk region.
“They want to do this not only to achieve some operational results, but primarily for demonstrative purposes. To achieve a psychological effect: to put the infamous ‘foot of the Russian soldier’ there, plant a flag and trumpet another pseudo-‘victory,’” he said.","['Ivana Kottasová', 'Daria Tarasova-Markina']",en
https://www.cnn.com/2025/06/27/world/video/sergey-tikhanovsky-freed-belarus-prison-svetlana-tikhanovskaya-sciutto-digvid,Video: Belarusian opposition figure speaks out after time in prison,2025-06-28 01:48:41,"Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues
Ad never loaded Ad prevented/slowed the page from loading Content moved around while ad loaded Ad was repetitive to ads I've seen previously Other issues",['Jim Sciutto'],en
https://www.cnn.com/2025/06/26/europe/zelensky-ukraine-special-tribunal-intl,Zelensky and European rights body establish tribunal to allow prosecution of Russian leaders,2025-06-26 11:23:54,"Ukrainian President Volodymyr Zelensky has signed an agreement with the Council of Europe (CoE) to create a tribunal that would allow for the prosecution of senior Russian officials who have led the war on Ukraine.
Zelensky signed the accord on Wednesday alongside CoE Secretary General Alain Berset in the French city of Strasbourg, where the organization is headquartered.
The Ukrainian leader has portrayed the special tribunal as paramount to holding Russian officials responsible for the full-scale invasion of his country, which began in February 2022 and has grinded on for more than three years, with a huge human cost.
The establishment of the tribunal is aimed at widening the net for those who can be tried over the conflict. The International Criminal Court (ICC), which focuses on crimes against humanity, has already issued arrest warrants for Russian President Vladimir Putin and several other high-profile political and military Russian figures.
The new body will deal with the crime of aggression, specifically regarding the use of armed force by one state against another. It marks the first time that the CoE has set up such a tribunal.
“The Tribunal, formally launched today, creates a real opportunity to hold the leadership of the Russian regime accountable for the crimes committed against our state and our people,” the Ukrainian president wrote on X.
“We will continue working to ensure justice for all victims. Criminals must face trial in The Hague and be punished.”
Berset said: “This historic signature reminds us that international law must apply to all – with no exceptions, and with no double standards.”
Alongside Putin, the ICC, based in The Hague, issued an arrest warrant for Maria Lvova-Belova, Russia’s presidential commissioner for children’s rights, in March 2023. Both are accused of the illegal deportation and transfer of children from occupied areas of Ukraine to Russia.
In March 2024, the court also issued arrest warrants for Viktor Sokolov, a Russian navy officer and former commander of the Black Sea Fleet, and Sergei Kobylash, a lLieutenant general in the Russian Armed Forces. The two are accused of the war crime of causing excessive incidental harm to civilians and the crime against humanity of inhumane acts.
Meanwhile, ceasefire negotiations to end the war in Ukraine have mostly stalled despite mediation from the Trump administration.
The talks between Russia, Ukraine and third countries have struggled to make progress after Moscow refused to back off its maximalist demands and presented a ceasefire proposal that would essentially amount to Ukraine’s capitulation.
At the same time, Russia keeps ramping up its attacks against Ukrainian cities. Russian forces killed dozens of Ukrainian civilians in less than 48 hours on Monday and Tuesday, according to Ukrainian officials, two of the deadliest days in many months.",['Sophie Tanno'],en
https://www.cnn.com/2025/06/24/Tv/video/amanpour-kaja-kallas-nato,‘Putin is not the honest broker of any kind of peace’: EU Foreign Policy Chief,2025-06-24 18:35:48,,['Alex Hardie'],en
https://www.cnn.com/2025/06/24/europe/russian-attacks-ukraine-nato-summit-latam-intl,Russian attacks kill dozens of Ukrainians as Kyiv’s allies gather for a key NATO summit,2025-06-24 00:00:00,"Russia killed dozens of Ukrainian civilians in less than 48 hours on Monday and Tuesday, according to Ukrainian officials, two of the deadliest days in many months.
A five-year-old boy and an 11-year-old girl were among the victims of the Russian attacks, launched just as Ukraine’s allies began gathering for a key NATO meeting in the Netherlands.
Ukrainian officials said 15 people were killed in Dnipro on Tuesday after a Russian ballistic missile hit the city, the largest in the country’s south-east, while 9 people were killed in a strike on a Kyiv apartment building on Monday.
At least two dozen others were killed in strikes across the country, including in Sumy, Kherson, Donetsk and Odesa regions.
In Dnipro, local officials said the missile caused damage unlike any previous attacks on the city.
Mayor Borys Filatov said almost 50 buildings were damaged, including schools, medical facilities, municipal sites and residential buildings.
“This is an unprecedented amount of destruction that the city has never seen before in the entire time of the full-scale war. The number of victims is so high that even ambulances cannot keep up,” he added.
More than 170 people were injured, according to authorities, with around 100 remaining in city hospitals as of Tuesday evening.
A passenger train carrying some 500 people was also damaged in the strike.
“In residential buildings and various municipal facilities throughout the city, we have over 2,000 shattered windows alone,” he said.
Zelensky highlights Russia’s ties to Iran
Ukraine’s President Volodymyr Zelensky was in The Hague for the NATO summit on Tuesday, meeting several European leaders on its sidelines before addressing the Dutch parliament.
Ukraine is not a member of NATO and, while it wants to join, the issue of its potential future membership remains contentious. Russia has tried to prevent Ukraine from ever being able to join the alliance, with Moscow arguing that NATO’s eastward expansion following the end of the Cold War has posed threats to its security.
Zelensky met NATO Secretary General Mark Rutte, President of the European Council Antonia Costa and European Commission President Ursula von der Leyen, all of whom have reiterated their support for Ukraine.
He was hoping to meet US President Donald Trump later on Tuesday, according to Ukrainian officials.
The two were scheduled to meet at the G7 summit in Canada earlier this month, but that meeting did not happen as Trump left the summit earlier than expected because of the Iran-Israel conflict.
As the world turned its attention to the Middle East, Zelensky was keen to highlight the connection between Iran and Russia.
Iran has been among Russia’s strongest backers since President Vladimir Putin launched a full-scale unprovoked invasion of Ukraine in 2022. The Iranian regime has supplied Moscow with weapons, including short-range ballistic missiles and thousands of Shahed drones; according to US officials, it has also built a drone factory in Russia.
Moscow has in turn stood by Iran during the recent conflict with Israel and after the US strikes against Iranian nuclear sites on Sunday.
Russia has intensified its aerial attacks on Ukrainian cities in recent weeks, after successfully scaling up its domestic production of its most frequently used type of drone – the Iran-designed Shahed.
Zelensky said on Tuesday that Russia has launched 28,743 Shahed drones against Ukraine since 2022, with 2,736 fired by so far this month.
“Russia could never have done this without its ties to the Iranian regime,” he said.
The Ukrainian leader told reporters at the summit that there were no signs Putin wanted to stop his war against Ukraine.
“Russia rejects all peace proposals, including those from the United States of America. Putin only thinks about war. That’s a fact. Maybe he connects his own political survival with his ability to keep killing, so long as he kills, he lives,” Zelensky said.
Talks between Russia, Ukraine and third countries have mostly stalled after Moscow refused to back off its maximalist demands and presented a ceasefire proposal that would essentially amount to Ukraine’s capitulation.
Speaking on the sidelines of the summit, British Defense Secretary John Healy said that while “all eyes have been on the Middle East,” it was crucial not to forget about Ukraine.
“Putin wants our focus to slip, and part of the strong message from NATO is that we will not let that happen, and this session is an important part of that,” he said.
Zelensky was in London on Monday, where he met British Prime Minister Keir Starmer as well as King Charles III.
Kyiv officials said the attack on the apartment building on Monday killed multiple members of several families.
Lusy Alekseenkova, a journalist with a Ukrainian TV channel, said her brother, his wife and her sister-in-law’s father were killed in the attack on Kyiv, with her 16-year-old nephew the sole survivor.
The same strike left a mother and her 11-year-old daughter dead, Tymur Tkachenko, the head of Kyiv Military Administration, said on Telegram, adding that it took many hours to recover the little girl’s body.","['Ivana Kottasová', 'Daria Tarasova-Markina', 'James Frater']",en
https://www.cnn.com/2025/06/21/europe/belarus-opposition-freed-us-intl,Belarus frees key opposition figure Sergey Tikhanovsky following rare visit from top US envoy,2025-06-21 17:07:45,"Belarus has freed Sergey Tikhanovsky, a key dissident figure and the husband of exiled opposition leader Svetlana Tikhanovskaya, following a rare visit by a senior US official, Tikhanovskaya’s team announced on Saturday.
Tikhanovsky, a popular blogger and activist who was jailed in 2020, arrived in Vilnius, Lithuania, alongside 13 other political prisoners, his wife’s team said. The release came just hours after Belarusian authorities announced that authoritarian President Alexander Lukashenko met with US President Donald Trump’s envoy for Ukraine, Keith Kellogg, in Minsk.
A video published on his wife’s official Telegram account showed Tikhanovsky disembarking a white minibus, with a shaved head and broad smile. He pulled Tikhanovskaya into a long embrace as their supporters applauded.
“My husband is free. It’s difficult to describe the joy in my heart,” Tikhanovskaya told reporters. But she added her team’s work is “not finished” while over 1,100 political prisoners remain behind bars in Belarus.
Tikhanovsky was jailed after announcing plans to challenge Lukashenko in the 2020 election. Following his arrest, his wife ran in his stead, rallying large crowds across the country. Official results of the election handed Lukashenko his sixth term in office but were denounced by the opposition and the West as a sham.
As unprecedented protests broke out in the aftermath of the vote, Tikhanovskaya left the country under pressure from the authorities. Her husband was later sentenced to 19 1/2 years in prison on charges of organizing mass riots.
Other prominent dissidents remain in Belarusian jails, among them Nobel Peace Prize winner Ales Bialiatski, a human rights advocate serving a 10-year prison sentence on charges widely denounced as politically motivated. Also behind bars is Viktor Babaryka, a former banker who was widely seen in 2020 as Lukashenko’s main electoral rival, and Maria Kolesnikova, a charismatic leader of that year’s mass protests.
Released alongside Tikhanovsky was longtime Radio Free Europe/Radio Liberty correspondent Ihar Karnei, the US government-funded broadcaster confirmed. Karnei, who had also worked with prominent Belarusian and Russian newspapers, had been serving a three-year service on extremism charges he rejected as a sham.
RFE/RL’s Belarusian service had been designated extremist in the country, a common label handed to anyone who criticizes Lukashenko’s government. As a result, working for it or spreading its content has become a criminal offense.
“We are deeply grateful to President Trump for securing the release of this brave journalist, who suffered at the hands of the Belarusian authorities,” the broadcaster’s CEO Stephen Capus said Saturday in a press release.
Karnei was detained several times while covering the 2020 protests. Unlike many of his colleagues, he chose to stay in Belarus despite the ensuing repression. He was arrested again in July 2023, as police raided his apartment seizing phones and computers.
Belarus also freed an Estonian national who had set up an NGO to raise funds for Belarusian refugees. According to the Estonian Foreign Ministry, Allan Roio was detained last January, and sentenced to 6 1/2 years in prison on charges of establishing an extremist organization.","['Story Associated Press', 'Associated Press']",en
https://www.cnn.com/2025/06/18/Tv/video/amanpour-andrei-kelin-russia-ukraine,"‘We will continue this drive and Ukraine will have to surrender,’ says Russia’s Ambassador to the UK",2025-06-18 18:16:59,"CNN values your feedback
1. How relevant is this ad to you?
Thank You!
Your effort and contribution in providing this feedback is much appreciated.
Close
‘We will continue this drive and Ukraine will have to surrender,’ says Russia’s Ambassador to the UK",['Olivia Sumrie'],en
https://www.cnn.com/2025/06/18/middleeast/russia-iran-israel-conflict-ally-analysis-hnk-intl,"Analysis: Even if Russia loses Iran as an ally, it stands to profit from the chaos in the Middle East",2025-06-18 04:18:20,"There’s long been an awkward tension at the heart of the Kremlin’s complex relationship with the Middle East.
On the one hand, Russian alliances and economic influence there have traditionally been strong.
On the other, as one of the world’s biggest oil and gas producers, Russia tends to profit when things in the energy-rich region go awry and the markets get spooked.
That’s exactly what is playing out right now, with the Kremlin watching its Iranian ally being drastically weakened by Israeli airstrikes, while reaping the benefits.
On the face of it, Russia has so much to lose.
Iran has been a particularly useful “strategic partner” for the Kremlin, not only sharing a disdain for Western values and influence, but also supplying the Russian military with vast squadrons of Shahed aerial drones, enabling the relentless bombardment of Ukraine.
Much of that drone production has, admittedly, long since moved to Russia. But with Ukraine’s own drones now striking Russian production facilities deep behind the frontlines, that once reliable Iranian supply may eventually be missed.
There’s also a faint but painful sense of humiliation for the Kremlin to have to stand by and watch yet another key Middle Eastern ally under ferocious bombardment, unable or unwilling to step in.
Moscow has issued strongly-worded statements, of course, condemning as “illegal” Israel’s attacks on Iran’s nuclear facilities, adding that the strikes were creating “unacceptable threats to international security.”
It also accused Western countries of manipulating the situation to “settle political scores.”
But Russia’s supposed alliance with Iran never extended to defending the Islamic Republic and there has been no Kremlin offer of any military support.
It’s certainly true that a collapse of the Iranian regime, which is now an apparent Israeli objective, would add Iran to the growing Kremlin list of lost Middle Eastern alliances and client states, including Iraq, Libya and, most recently, Syria.
But here’s that awkward tension again: things are not quite as bad for Moscow as they may seem. In fact, this latest Middle Eastern conflict is playing very nicely into the Kremlin’s hands.
As well as the welcome financial windfall, courtesy of the surging price of crude oil, the Iran-Israel conflict is also opening up the taps, as it were, to diplomatic opportunities for a Kremlin that has faced years of international isolation over its war in Ukraine.
Russia has never stopped seeing itself as a major player in international diplomacy, with a rightful place at the top table alongside the US and China.
Now, the Kremlin has an issue on which it can jointly and productively cooperate with the United States, and possibly emerge as an indispensable US partner when it comes to eventually patching the region back together again.
As the only major political leader with a direct line to the Iranians, the Israelis and the United States, the Russian president, Vladimir Putin, is already carefully leveraging his pivotal position, signaling his willingness to act as a mediator, casting Russia as an important power broker in the Middle East.
In a recent call to the White House, Putin reminded President Donald Trump how Russia has been a long-time US ally when it comes to the Iranian nuclear issue – a heavy hint that he is open to being one again.
Initially, Trump expressed a willingness to consider the Russian leader as a potential mediator in the conflict, although he has since downplayed it.
Since the start of Trump’s second term, Washington and Moscow have been desperate to find ways to broaden their relationship beyond the narrow focus on the Ukraine war. The fate of Iran and its nuclear ambitions have unexpectedly reemerged – along with the Arctic, economic cooperation and space exploration – as yet another area of potential common interest.
For the Kremlin – and maybe for Trump too – that’s a major boon.
Not so much for beleaguered Ukraine.",['Matthew Chance'],en
https://www.cnn.com/2025/06/17/europe/kyiv-deadly-strikes-trump-g7-intl-hnk,28 killed in deadliest Russian strikes on Kyiv in almost a year,2025-06-17 06:22:14,"Russia launched a barrage of hundreds of drones and missiles on Kyiv overnight, killing more than 20 people in one of its biggest attacks on the Ukrainian capital.
The State Emergency Service of Ukraine said at least 28 people were killed in Kyiv, and 134 were injured.
One strike hit a multi-story residential building, splitting it in two and leaving a huge gap where dozens of homes were just moments before. The Emergency Service said 23 bodies had been pulled out of the rubble as of Wednesday morning.
Victoria, who lives in the building and didn’t want to share her last name, said she spent part of the night sheltering in her bathroom, the safest place in the apartment, listening to Russian drones flying overhead. When she thought the attack was over, she went back to bed – only to be woken by a loud explosion.
“The windows were blown out. It was very scary. Adrenaline was pumping. Just survival instincts. I tried to get out of the apartment, but my neighbors’ doors were blocking my door,” she told CNN, adding that she only realized her building had been hit when her neighbors managed to clear the door and she fled to the street.
“I thought I was ready to die and wasn’t afraid of anything. But today I realized that I’m scared. For the first time, I was scared,” said Victoria, who fled her home in Luhansk in eastern Ukraine after Russia occupied it in 2014.
Oleksandr Ustenko, who lives with his family on the second floor of the same building, told CNN he heard drones flying overhead throughout the night.
“Then we heard a sound of a missile. At some point, everything started shaking, the ceiling shook, and the door was blown out,” he said, adding that as they ran into the hallway, everything around them was on fire.
“We barely made it to the street. We are still here. The apartment is almost destroyed, our car is destroyed.”
The Russian assault was the deadliest on the capital in almost a year, the UN Human Rights Monitoring Mission in Ukraine (HRMMU) said on Tuesday.
The ministry said rescue operations were ongoing as of Tuesday evening, as more people were believed to be in the rubble.
Two other people were killed in attacks on the southern port city of Odessa.
“Last night’s attack was the fourth time this month that Russian armed forces launched more than 400 munitions in a single night. By comparison, Russian armed forces launched 544 long-range munitions during the entire month in June 2024,” the HRMMU said in a statement.
Kyiv Mayor Vitaliy Klitschko said in a Telegram post that residential buildings and other infrastructure were severely damaged.
“We hope that no dead will be found under the rubble, but we cannot rule it out,” he added. “The death toll may increase.”
Klitschko said in the message that a US citizen was killed in the Solomyanskyi district of Kyiv overnight. The mayor said the person was 62 years old and “died in a house opposite to the one where medics were providing assistance to the victims,” without giving any more details.
Later Tuesday, State Department spokesperson Tammy Bruce confirmed a US citizen was among those killed in Kyiv.
“We condemn those strikes and extend our deepest condolences to the victims and to the families of all those affected,” Bruce said at a State Department briefing, adding the department was “ready to provide all possible consular assistance” to the family of the American who was killed.
Despite the civilian deaths and evidence of direct strikes on residential buildings, the Russian defense ministry said on Tuesday that it targeted “military-industrial complex facilities in the Kyiv region and Zaporizhzhia.”
The Ukrainian Air Force said 440 drones and 32 missiles were launched at Ukraine overnight and added that it manage to destroy 428 of them.
Russia has ramped up its airborne attacks against Ukraine in recent weeks, launching as many as 479 drones and missiles in a single night. Ukrainian officials say these assaults are not just bigger and more frequent; they are also more concentrated and executed in a way that makes them a lot more difficult to combat – as they are flown at higher altitudes, out of reach of machine guns.
Some 27 locations in different districts of Kyiv came under fire in the latest attack, according to a statement from Ukraine’s Minister of Internal Affairs, Ihor Klymenko.
“Rescuers, police and medics are working. They are doing everything they can to help the victims, clear the rubble and save lives,” he said.
The strikes come as US President Donald Trump announced he would return to Washington a day early from the Group of 7 summit in Canada.
His early departure means he will miss a key meeting with Ukrainian President Volodymyr Zelensky on the sidelines of the event.
It would have been the leaders’ third meeting since Trump took office in January.
Ukrainian officials had been hoping that a positive interaction with Trump could advance Kyiv’s case amid Moscow’s intensifying attacks.
Meanwhile, Russian Security Council Secretary Sergey Shoigu arrived in Pyongyang on a “special mission” from Russian leader Vladimir Putin, according to Russian state news agency TASS.
Shoigu is scheduled to meet North Korean leader Kim Jong Un, Tass reported Tuesday.
Pyongyang has continued support for Moscow’s war on Ukraine as world leaders push for an end to the three-year conflict.
North Korea has sent soldiers and millions of munitions, including missiles and rockets, to Russia over the past year, according to a May report by an international watchdog, the Multilateral Sanctions Monitoring Team.
The US has warned that Russia may be close to sharing advanced space and satellite technology with North Korea in exchange for continued support for the war in Ukraine.
Under Trump, the US has been less willing to equip badly outgunned Ukraine directly, has pushed European partners to pick up more of the support and threatened to walk away altogether from peace talks.
This story has been updated.","['Rhea Mogul', 'Hilary Whiteman', 'Ivana Kottasová']",en
https://www.cnn.com/2025/06/17/world/video/kyiv-russia-ukraine-drone-strikes-ldn-digvid,Footage shows Russian drone hitting apartment building in Kyiv,2025-06-17 12:06:31,"Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues
Ad never loaded Ad prevented/slowed the page from loading Content moved around while ad loaded Ad was repetitive to ads I've seen previously Other issues",['Ivana Scatola'],en
