source,headline,sentence
AJ_PAL,"Israel in Gaza, Palestinian fighters in Israel, what the UN accuses them of",Investigators could not determine if rape had been carried out during the attack due to their inability to access and interview witnesses and victims.
AJ_PAL,Israel says it struck Yemen’s Hodeidah in response to Houthi attacks,The Israeli air strikes are the first known direct attack by Israel against the Houthis since the startof the waron Gaza.
AJ_PAL,"UN, aid urgencies urge Israel to halt Rafah assault after crossing seized","“This will never be achieved.”
Any truce would be the first pause in fighting since a week-long ceasefire in November during which Hamas freed dozens of captives and Israel released 240 Palestinians it was holding in its jails."
AJ_PAL,"US, UK urge Hamas to accept Israeli truce proposal in war on Gaza","At least 34,488 people have been killed and 77,643 others wounded in the Israeli assault on Gaza since October 7, according to Palestinian authorities in the besieged territory."
AJ_PAL,"‘Light in any room’: Friends hail Aysenur Eygi, US citizen killed by Israel","“From a very young age, she has been a social justice warrior."
AJ_PAL,Trump blocks Harvard’s ability to enrol international students,Fresco noted that there is a clear legal recourse to fight against the revocation of its foreign exchange programme.
AJ_PAL,"Who was Mohammad Reza Zahedi, an Iranian general killed by Israel in Syria?",Zahedi was the highest ranking Iranian military commander to be killed since Major General Qassem Soleimani died in a US drone strike in 2020.
AJ_PAL,"World reacts to ICC arrest warrants for Israel’s Netanyahu, Gallant","In August, Khan called on the court to make a decision, saying, “Any unjustified delay in these proceedings detrimentally affects the rights of victims.”
Since the decision was announced, Israeli officials have slammed the warrants, with Israeli Transportation Minister Miri Regev referring to them as “modern anti-Semitism in the guise of justice”."
AJ_PAL,US Election 2024,"In the lead-up to Election Day on November 5, Trump campaigned heavily as an antiwar candidate, blaming outgoing President Joe Biden for the international conflicts that erupted during his tenure."
AJ_PAL,Netanyahu says Gaza population to be moved in intensive Israeli operation,But Zamir warned this would “endanger” Israel as it would expose the country to even more allegations ofviolations of international law.
AJ_PAL,‘No one will hold Israel accountable’ as it targets medics in south Lebanon,"Hezbollah and Israel have been trading attacks across the border since October 8, the day after Israel launched its war on Gaza in retaliation for a Hamas-led attack on Israel in which 1,139 people were killed and about 240 others taken captive."
AJ_PAL,"After massacre in Gaza’s Rafah, advocates ask: Where is Biden’s red line?","“Biden shouldn’t wait for a pro forma Israeli investigation — he should stand by his word and halt arms right now.”



Israeli Prime Minister Benjamin Netanyahu has described the attack as a “tragic mistake” and promised an investigation."
AJ_PAL,Israel-Gaza ceasefire deal: Which Palestinian prisoners could be released?,"Another high-profile Palestinian prisoner is Ahmed Saadat, the head of PFLP, who was accused by Israel of ordering the assassination of Israeli Tourism Minister Rehavam Ze’evi in 2001, even though the Justice Ministry initially decided there wasnot enough evidenceto charge him for the killing."
AJ_PAL,My sister was the joy of every Eid. Now she is gone,"We were sleeping at home when, at 4am, my uncle’s home right next door was bombed."
AJ_PAL,Israel orders Rafah evacuation as Gaza truce talks stall,"The UN Agency for Palestine Refugees (UNRWA) warned in a social media post that an Israeli offensive would inflict more suffering and death on a Palestinian population that the health authorities say has killed more than 34,000 since October."
AJ_PAL,Two Palestinians killed by Israeli tank fire in southern Gaza,"Israel’s war on Gaza has killed at least 47,283 Palestinians and wounded 111,472 since October 7, 2023."
AJ_PAL,"As explosions rattle our Gaza field hospital, we brace for the wounded","But that week, because the explosions were so close to the field hospital, patients began arriving within six minutes."
AJ_PAL,Hamas and PIJ submit response to UN-backed Gaza ceasefire plan,"As part of his eighth trip to the Middle East since the Gaza assault began, Blinken also sought steps to prevent months of border clashes between Israel and the Lebanese armed group Hezbollah from escalating into a full-scale war."
AJ_PAL,"Nagham Abu Samra: Palestine karate champion, victim of Israel’s war on Gaza",Gaza’s medical infrastructure was woefully inadequate due to the Israeli blockade of the Strip but now even that has been destroyed by the war.
AJ_PAL,Trump’s Middle East envoy will enter Gaza as part of ‘inspection team’,"All told, at least 47,107 Palestinians have beenkilled in Gazasince October 7, 2023."
AJ_PAL,What it’s like to flee Jenin’s ‘earthquake’ incursion by Israeli forces,Israeli attacks on Jenin are hardly new.
AJ_PAL,Palestinians condemn Trump’s proposal to ‘clean out’ Gaza,"Hamas, the Palestinian group that governs Gaza, said the US administration must abandon such proposals that align with Israeli “schemes” and conflict with the rights of the Palestinian people, who have already been resisting “the most heinous acts of genocide” and displacement since Israel launched its war on Gaza in October 2023."
AJ_PAL,Israeli army orders more evacuations from Rafah as it expands Gaza assault,"Gaza’s Ministry of Health said on Saturday that at least 34,971 people have been killed and 78,641 wounded in Israeli attacks on Gaza since October 7."
AJ_PAL,US man convicted in hate crime murder of Palestinian American boy,"The murder of the boy, Wadee Alfayoumi, and the attack on his mother, Hanan Shaheen, was one of the earliest and worst hate crime incidents in the US since the start of Israel’s war on Gaza."
AJ_PAL,Merz says Netanyahu will be able to visit Germany despite ICC warrant,Both Israel and Hamas sayDeif was killedin July in an Israeli air strike.
AJ_PAL,US Election 2024,"“In particular, voters’ views of how the candidates would handle the Israel-Hamas-Hezbollah and the Russia-Ukraine wars could be decisive in battleground states and thus the election.”
The notion that foreign policy matters little in US presidential elections has only gained ground over the last three decades."
